matrix_type,m_over_n,k_over_m,method_omp,nrmse_omp,f1_omp,method_union,nrmse_union,f1_union,nrmse_gain,f1_gain
coherent,0.375,0.25,OMP,0.02290711392681956,0.9595833333333332,OMP_LearnedUnion,0.02132291339898006,0.9608333333333333,0.0015842005278394987,0.0012500000000000844
coherent,0.375,0.3541666666666667,OMP,0.17533089024504103,0.8223529411764706,OMP_LearnedUnion,0.16765570031099,0.8288235294117646,0.00767518993405103,0.006470588235294006
coherent,0.375,0.4479166666666667,OMP,0.5435686272152593,0.5606976744186046,OMP_LearnedUnion,0.5354217673084135,0.567906976744186,0.008146859906845827,0.007209302325581368
coherent,0.5,0.25,OMP,0.018875840693023213,0.9671875,OMP_LearnedUnion,0.018352665893925868,0.9678125,0.0005231747990973451,0.0006249999999999867
coherent,0.5,0.3515625,OMP,0.05396481700531324,0.9164444444444445,OMP_LearnedUnion,0.05284119591165787,0.9204444444444444,0.0011236210936553734,0.0039999999999998925
coherent,0.5,0.453125,OMP,0.32499988552950454,0.7056896551724138,OMP_LearnedUnion,0.31142827545010865,0.7156896551724138,0.01357161007939589,0.010000000000000009
coherent,0.625,0.25,OMP,0.01564697096722634,0.971,OMP_LearnedUnion,0.015661389949468984,0.971,-1.4418982242643541e-05,0.0
coherent,0.625,0.35,OMP,0.02910382504199235,0.9473214285714286,OMP_LearnedUnion,0.027984233059306706,0.9503571428571429,0.0011195919826856443,0.0030357142857142527
coherent,0.625,0.45,OMP,0.125298262935276,0.85125,OMP_LearnedUnion,0.11877417330810341,0.8618055555555556,0.006524089627172575,0.010555555555555651
gaussian,0.375,0.25,OMP,0.021617747207456666,0.96125,OMP_LearnedUnion,0.019963683305110877,0.9620833333333333,0.0016540639023457891,0.0008333333333332416
gaussian,0.375,0.3541666666666667,OMP,0.18725133141055583,0.8308823529411764,OMP_LearnedUnion,0.17689371797106465,0.8394117647058823,0.010357613439491181,0.008529411764705896
gaussian,0.375,0.4479166666666667,OMP,0.5243792571544911,0.5813953488372092,OMP_LearnedUnion,0.5180895168251834,0.5895348837209302,0.006289740329307625,0.008139534883720989
gaussian,0.5,0.25,OMP,0.014389254174900567,0.971875,OMP_LearnedUnion,0.014439336575535562,0.9715625,-5.008240063499557e-05,-0.00031250000000004885
gaussian,0.5,0.3515625,OMP,0.04110973500373909,0.9362222222222222,OMP_LearnedUnion,0.04089945992914398,0.9371111111111111,0.00021027507459510375,0.000888888888888939
gaussian,0.5,0.453125,OMP,0.26723181365950355,0.7479310344827588,OMP_LearnedUnion,0.25810547461068895,0.7589655172413794,0.009126339048814602,0.011034482758620623
gaussian,0.625,0.25,OMP,0.014403037522600668,0.972,OMP_LearnedUnion,0.014496009619135436,0.97125,-9.297209653476822e-05,-0.0007500000000000284
gaussian,0.625,0.35,OMP,0.020506816106241155,0.95625,OMP_LearnedUnion,0.020726367819216968,0.9571428571428572,-0.0002195517129758122,0.0008928571428571397
gaussian,0.625,0.45,OMP,0.1263783655225451,0.8609722222222222,OMP_LearnedUnion,0.11809017167453766,0.8706944444444444,0.008288193848007455,0.009722222222222188
